STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
GUY R BREWER BOULEVARD,108 AVENUE,109 AVENUE,Queens,1,0,6/11/2019,,B-01342032 / 01342047,60331
WEST 212 STREET,10 AVENUE,BROADWAY,Manhattan,1,1,6/7/2019,,B-01367949,72901
EAST 218 STREET,PAULDING AVENUE,BRONXWOOD AVENUE,Bronx,1,0,6/6/2019,,B-01372800,89067
EAST 196 STREET,MORRIS AVENUE,PARKVIEW TERRACE,Bronx,1,0,6/6/2019,,B-01371643 / 01371649,107174
ANTHONY AVENUE,BUSH STREET,EAST 179 STREET,Bronx,1,0,6/6/2019,,B-01371635,78427
SOUTH WILLIAM STREET,MILL LANE,BROAD STREET,Manhattan,1,1,6/6/2019,,B-01370524,277230
SOUTH WILLIAM STREET,MILL LANE,BROAD STREET,Manhattan,1,1,6/6/2019,,B-01370524,277231
WEST 114 STREET,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,2,2,6/6/2019,,B-01368934,9003927
WEST 114 STREET,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,2,2,6/6/2019,,B-01368934,9003925
WEST 114 STREET,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,2,2,6/6/2019,,B-01368934,9003926
WEST 114 STREET,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,2,2,6/6/2019,,B-01368934,166421
WEST 114 STREET,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,2,2,6/6/2019,,B-01368934,9003922
WEST 114 STREET,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,2,2,6/6/2019,,B-01368934,9003923
EAST 120 STREET,1 AVENUE,2 AVENUE,Manhattan,3,3,6/5/2019,,B-01368939,287505
EAST 120 STREET,1 AVENUE,2 AVENUE,Manhattan,3,3,6/5/2019,,B-01368939,287625
EAST 120 STREET,1 AVENUE,2 AVENUE,Manhattan,3,3,6/5/2019,,B-01368939,287626
EAST 120 STREET,1 AVENUE,2 AVENUE,Manhattan,3,3,6/5/2019,,B-01368939,287506
EAST 120 STREET,1 AVENUE,2 AVENUE,Manhattan,3,3,6/5/2019,,B-01368939,287558
LINWOOD STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,Brooklyn,2,0,5/30/2019,,B-01367964,293981
LINWOOD STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,Brooklyn,2,0,5/30/2019,,B-01367964,293982
EAST 82 STREET,YORK AVENUE,1 AVENUE,Manhattan,2,2,5/30/2019,,B-01367677,37750
EAST 89 STREET,MADISON AVENUE,5 AVENUE,Manhattan,1,1,5/30/2019,,B-01368853,301962
EAST 89 STREET,MADISON AVENUE,5 AVENUE,Manhattan,1,1,5/30/2019,,B-01368853,301963
EAST 89 STREET,MADISON AVENUE,5 AVENUE,Manhattan,1,1,5/30/2019,,B-01368853,301958
76 STREET,32 AVENUE,NORTHERN BOULEVARD,Queens,1,0,5/29/2019,,B-01368289,130506
76 STREET,32 AVENUE,NORTHERN BOULEVARD,Queens,1,0,5/29/2019,,B-01368289,130507
76 STREET,32 AVENUE,NORTHERN BOULEVARD,Queens,1,0,5/29/2019,,B-01368289,130504
76 STREET,32 AVENUE,NORTHERN BOULEVARD,Queens,1,0,5/29/2019,,B-01368289,130505
70 ROAD,METROPOLITAN AVENUE,SYBILLA STREET,Queens,1,0,5/29/2019,,B-01369856 / 01369863,128979
70 ROAD,METROPOLITAN AVENUE,SYBILLA STREET,Queens,1,0,5/29/2019,,B-01369856 / 01369863,128980
73 AVENUE,260 STREET,263 STREET,Queens,1,0,5/28/2019,,B-01369779 / 01369791,107719
73 AVENUE,260 STREET,263 STREET,Queens,1,0,5/28/2019,,B-01369779 / 01369791,107717
73 AVENUE,260 STREET,263 STREET,Queens,1,0,5/28/2019,,B-01369779 / 01369791,184084
73 AVENUE,260 STREET,263 STREET,Queens,1,0,5/28/2019,,B-01369779 / 01369791,184085
21 AVENUE,19 STREET,SHORE BOULEVARD,Queens,1,0,5/24/2019,,B-01368024 / 01368031,68905
140 AVENUE,168 STREET,167 STREET,Queens,1,0,5/23/2019,,B-01367943 / 01367951,59600
133 ROAD,FARMERS BOULEVARD,GARRETT STREET,Queens,1,0,5/23/2019,,B-01367966 / 01367974,112988
133 ROAD,FARMERS BOULEVARD,GARRETT STREET,Queens,1,0,5/23/2019,,B-01367966 / 01367974,112987
EAST 17 STREET,AVENUE I,AVENUE J,Brooklyn,1,1,5/23/2019,,B-01368040,27202
WEST 3 STREET,AVENUE S,LLOYD COURT,Brooklyn,1,0,5/23/2019,,B-01366370,25081
EAST 13 STREET,AVENUE U,AVENUE V,Brooklyn,1,0,5/23/2019,,B-01368044,25822
BAY 35 STREET,BENSON AVENUE,BATH AVENUE,Brooklyn,1,1,5/22/2019,,B-01367634,18901
BAY 14 STREET,BENSON AVENUE,86 STREET,Brooklyn,2,0,5/22/2019,,B-01367660,127132
BAY 14 STREET,BENSON AVENUE,86 STREET,Brooklyn,2,0,5/22/2019,,B-01367660,127131
AVENUE V,COLEMAN STREET,KIMBALL STREET,Brooklyn,1,0,5/21/2019,,B-01366140 / 01366158,41184
72 STREET,53 ROAD,GRAND AVENUE,Queens,2,0,5/21/2019,,B-01369908 / 01369914,74376
72 STREET,53 ROAD,GRAND AVENUE,Queens,2,0,5/21/2019,,B-01369908 / 01369914,74374
72 STREET,52 AVENUE,53 AVENUE,Queens,1,0,5/21/2019,,B-01369908 / 01369914,74390
36 STREET,DITMARS BOULEVARD,23 AVENUE,Queens,2,0,5/20/2019,,B-01368033,129922
36 STREET,DITMARS BOULEVARD,23 AVENUE,Queens,2,0,5/20/2019,,B-01368033,129920
36 STREET,DITMARS BOULEVARD,23 AVENUE,Queens,2,0,5/20/2019,,B-01368033,129921
36 STREET,DITMARS BOULEVARD,23 AVENUE,Queens,2,0,5/20/2019,,B-01368033,129919
33 STREET,23 AVENUE,23 ROAD,Queens,1,0,5/20/2019,,B-01367984,68950
EAST 26 STREET,AVENUE D,CLARENDON ROAD,Brooklyn,1,0,5/20/2019,,B-01367337,127474
EAST 26 STREET,AVENUE D,CLARENDON ROAD,Brooklyn,1,0,5/20/2019,,B-01367337,127475
EAST 55 STREET,AVENUE N,AVENUE M,Brooklyn,1,0,5/20/2019,,B-01367393,41248
EAST 57 STREET,AVENUE M,AVENUE N,Brooklyn,1,1,5/20/2019,,B-01367349,41347
70 AVENUE,141 STREET,137 STREET,Queens,2,0,5/17/2019,,B-01369852,89869
64 AVENUE,181 STREET,182 STREET,Queens,2,0,5/16/2019,,B-01367922 / 01367935,96147
64 AVENUE,184 STREET,185 STREET,Queens,2,0,5/16/2019,,B-01367922 / 01367935,180306
64 AVENUE,184 STREET,185 STREET,Queens,2,0,5/16/2019,,B-01367922 / 01367935,180305
64 AVENUE,182 STREET,183 STREET,Queens,1,0,5/16/2019,,B-01367922 / 01367935,96259
59 ROAD,60 LANE,60 STREET,Queens,1,0,5/15/2019,,B-01367752,130011
59 ROAD,60 LANE,60 STREET,Queens,1,0,5/15/2019,,B-01367752,130012
65 ROAD,110 STREET,108 STREET,Queens,2,0,5/14/2019,,B-01367669,131138
65 ROAD,110 STREET,108 STREET,Queens,2,0,5/14/2019,,B-01367669,131135
65 ROAD,110 STREET,108 STREET,Queens,2,0,5/14/2019,,B-01367669,131136
65 ROAD,110 STREET,108 STREET,Queens,2,0,5/14/2019,,B-01367669,131137
63 DRIVE,99 STREET,98 PLACE,Queens,1,1,5/14/2019,,B-01367656,81981
JAVA STREET,MC GUINNESS BOULEVARD,MANHATTAN AVENUE,Brooklyn,2,2,5/10/2019,,B-01367947,165115
JAVA STREET,MC GUINNESS BOULEVARD,MANHATTAN AVENUE,Brooklyn,2,2,5/10/2019,,B-01367947,165114
224 STREET,LINDEN BOULEVARD,116 AVENUE,Queens,2,0,5/10/2019,,B-01367980 / 01369624,65306
57 STREET,31 AVENUE,30 AVENUE,Queens,2,0,5/9/2019,,B-01367643,289253
57 STREET,31 AVENUE,30 AVENUE,Queens,2,0,5/9/2019,,B-01367643,289254
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,167638
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007518
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007511
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007510
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007513
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007512
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007515
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007514
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007517
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007516
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007499
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007507
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007504
