nodeid,masterid,control_type,control_id,node_lon_lat,control_lon_lat,distance
43768,43768,SIG,20861,"[-73.9285369462954, 40.834417727426]","[-73.928538, 40.8344169999998]",0.394031262557297
43770,43770,SIG,20862,"[-73.9278588722692, 40.8356206087419]","[-73.927858, 40.8356219999999]",0.561421874025611
43780,43780,SIG,20873,"[-73.9276314490326, 40.8377106749494]","[-73.927617, 40.8377209999998]",5.4896678008914
43781,43781,SIG,20863,"[-73.9271168842623, 40.8369399144615]","[-73.927115, 40.8369409999998]",0.654428185508261
43782,43782,SIG,20874,"[-73.9270745369689, 40.8386223793952]","[-73.927074, 40.8386209999998]",0.524068915092334
43784,43784,SIG,20864,"[-73.9261846872898, 40.838522678885]","[-73.926185, 40.8385219999998]",0.262041597512556
43795,43795,SIG,20865,"[-73.9252676387687, 40.8401758709871]","[-73.925269, 40.8401759999999]",0.379571342712721
43849,43849,SIG,12876,"[-73.9281511609496, 40.8518633240501]","[-73.928151, 40.8518619999998]",0.484452563047074
43850,43850,SIG,12507,"[-73.9276956574463, 40.8524877825243]","[-73.927695, 40.8524879999998]",0.198389917540643
43854,43855,SIG,21375,"[-73.9248926259503, 40.8259103884365]","[-73.924916, 40.8259019999998]",7.15454891082175
43856,43856,SIG,20730,"[-73.924943348067, 40.8275109811468]","[-73.924943, 40.8275119999998]",0.383500348873748
43858,43858,SIG,20878,"[-73.9240468337998, 40.8272439285525]","[-73.924047, 40.8272449999998]",0.393067952099935
43859,43859,SIG,21372,"[-73.9234737918767, 40.8254132194337]","[-73.923475, 40.8254249999998]",4.30509369786396
43860,43860,SIG,21377,"[-73.9230618423379, 40.8260956111114]","[-73.923062, 40.8260939999998]",0.588606330463787
43862,43862,SIG,20743,"[-73.9221587375483, 40.8276859699389]","[-73.922226, 40.8277159999998]",21.5921216018803
43865,43865,SIG,20756,"[-73.9242611210452, 40.8306809085069]","[-73.92426, 40.8306819999998]",0.504368943187161
43866,43866,SIG,20752,"[-73.9232728029592, 40.8303447757983]","[-73.923274, 40.8303459999998]",0.555583897703401
43867,43867,SIG,20757,"[-73.9224131091392, 40.8300525392906]","[-73.922415, 40.8300519999998]",0.558949206205105
43869,43869,SIG,20748,"[-73.9217262544817, 40.8285954233457]","[-73.92174, 40.8285989999998]",4.02102345295452
43870,43870,SIG,20762,"[-73.9234877173106, 40.8319732114413]","[-73.923489, 40.8319739999998]",0.45666095194979
43871,43871,SIG,20758,"[-73.9225161278309, 40.8316327790633]","[-73.922517, 40.8316329999999]",0.254427419385048
43872,43872,SIG,20764,"[-73.9216617142846, 40.8313364253125]","[-73.921661, 40.8313359999999]",0.25116534967205
43878,43878,SIG,20852,"[-73.9222173625298, 40.8341629408462]","[-73.922218, 40.8341629999998]",0.17771422329397
43879,9045640,SIG,20774,"[-73.9223722320685, 40.8361087432006]","[-73.922371, 40.8361089999998]",0.353536473846877
43880,43880,SIG,20856,"[-73.9249180410432, 40.8383609160467]","[-73.924917, 40.8383619999998]",0.488820214881408
43889,43889,SIG,21879,"[-73.9216400763308, 40.8388876496341]","[-73.921617, 40.8389339999998]",18.0540400628883
43891,43891,SIG,20866,"[-73.924848610906, 40.8414954428914]","[-73.924848, 40.8414959999998]",0.264142392628771
43897,43897,SIG,20833,"[-73.9224356480035, 40.8418172405694]","[-73.922408, 40.8418119999998]",7.88462763984962
43898,43898,SIG,20879,"[-73.9219451481921, 40.8410448717332]","[-73.921946, 40.8410439999998]",0.395503373418073
43899,43992,SIG,20835,"[-73.9214622755308, 40.8402896323811]","[-73.921446, 40.8402849999998]",4.80926981193612
43906,43906,SIG,20858,"[-73.923621608052, 40.8442380881801]","[-73.923623, 40.8442369999998]",0.55272607801924
43907,43907,SIG,20834,"[-73.9228187441019, 40.8427511549993]","[-73.922764, 40.8427739999998]",17.2831798744138
43939,43939,SIG,20740,"[-73.9211528595379, 40.8263973744699]","[-73.921154, 40.8263979999998]",0.389308948370049
43941,43941,SIG,20741,"[-73.9202575344756, 40.8261523823187]","[-73.920258, 40.8261529999999]",0.259313730982086
43942,43942,SIG,20751,"[-73.920201438399, 40.8280998010556]","[-73.920202, 40.8280989999998]",0.330658003388131
43947,43947,SIG,20736,"[-73.9184613329019, 40.8255769233494]","[-73.91846, 40.8255749999998]",0.791913375127287
43948,43948,SIG,21762,"[-73.9184677121159, 40.8275474311036]","[-73.918468, 40.8275489999998]",0.577132062666717
43949,43949,SIG,20745,"[-73.9179389415832, 40.826516185841]","[-73.917938, 40.8265159999999]",0.269240271997012
43950,43950,SIG,20753,"[-73.9211758833617, 40.8296279299905]","[-73.921172, 40.8296279999998]",1.07499068886013
43955,43955,SIG,20763,"[-73.9189438815681, 40.8303343223453]","[-73.918945, 40.8303349999999]",0.395923552534407
43957,43957,SIG,21893,"[-73.9177973174081, 40.828758742822]","[-73.91781, 40.8287689999998]",5.1268598135353
43958,43958,SIG,21470,"[-73.9181095042328, 40.8300050431747]","[-73.918136, 40.8299949999998]",8.19473635335595
43961,43961,SIG,20759,"[-73.9204621937243, 40.8309125940844]","[-73.920462, 40.8309149999998]",0.878201438240266
43962,43962,SIG,20853,"[-73.9203646631041, 40.8335429016593]","[-73.920365, 40.8335419999999]",0.341480337118664
43963,43963,SIG,20766,"[-73.9198608944878, 40.8319472273354]","[-73.919857, 40.8319489999998]",1.25643117531148
43966,43966,SIG,21761,"[-73.9183070753329, 40.8314222652633]","[-73.918308, 40.8314209999998]",0.527240593062964
43969,43969,SIG,20776,"[-73.9212847225522, 40.8357237742494]","[-73.921284, 40.8357239999999]",0.216198373587926
43970,43970,SIG,20771,"[-73.9203037081284, 40.8353968424694]","[-73.920305, 40.8353969999998]",0.362061742607259
43972,43972,SIG,20779,"[-73.9194552311296, 40.8350999003724]","[-73.919445, 40.8351109999998]",4.93653467701611
43978,9035032,SIG,20781,"[-73.9204798116188, 40.8371395363358]","[-73.92048, 40.8371399999998]",0.176789695032203
43979,9035032,SIG,20843,"[-73.9203650307225, 40.837425706168]","[-73.920404, 40.8374459999998]",13.0745838532055
43982,43982,SIG,20787,"[-73.91969685345, 40.8378737960237]","[-73.919695, 40.8378719999999]",0.831392600843236
43985,9045641,SIG,20715,"[-73.9193086341037, 40.838126322524]","[-73.919308, 40.8381269999999]",0.302838707490805
43989,43989,SIG,20840,"[-73.9185919616376, 40.8389820894613]","[-73.918591, 40.8389829999998]",0.425271938716726
43990,43990,SIG,20782,"[-73.9184118912099, 40.8364392194986]","[-73.91841, 40.8364389999998]",0.529398206107772
43991,43991,SIG,20790,"[-73.9178481100184, 40.837155890842]","[-73.917849, 40.8371549999998]",0.407420182820443
43993,43993,SIG,20727,"[-73.9197837971351, 40.8408761843453]","[-73.919785, 40.8408749999998]",0.544946773184274
43994,43994,SIG,20837,"[-73.9190107224658, 40.8406482614132]","[-73.919012, 40.8406489999998]",0.444258987123288
43995,43995,SIG,20820,"[-73.9181372755038, 40.8396068534446]","[-73.918139, 40.8396059999999]",0.56953882943114
43996,43996,SIG,20849,"[-73.9180614566689, 40.8403619364202]","[-73.918062, 40.8403609999998]",0.372827748144048
43999,43999,SIG,20857,"[-73.9209873491151, 40.8440643196829]","[-73.920989, 40.8440649999999]",0.5196878867218
44001,44001,SIG,20870,"[-73.9200421832642, 40.8436587455111]","[-73.920035, 40.8436609999998]",2.15053569275644
44006,44097,SIG,20836,"[-73.9179523845386, 40.8418795955071]","[-73.917952, 40.8418779999998]",0.590960143763012
44014,44014,SIG,20875,"[-73.9206050065852, 40.8468777564956]","[-73.920541, 40.8468949999998]",18.7900826192162
44018,66624,SIG,20409,"[-73.9197176301106, 40.8460641082976]","[-73.919697, 40.8460859999998]",9.80791194047282
44029,44029,SIG,20876,"[-73.9196801485064, 40.847901875712]","[-73.919679, 40.8479009999999]",0.450291776900948
44034,44034,SIG,20712,"[-73.9184337095078, 40.8483128953023]","[-73.918414, 40.8483289999998]",8.01014280603962
44038,9043971,SIG,20713,"[-73.9206962282419, 40.8521410865146]","[-73.920697, 40.8521399999999]",0.449765143565932
44041,44516,SIG,20479,"[-73.9186150559824, 40.8528444158719]","[-73.918615, 40.8528439999998]",0.152307517233929
44043,44043,SIG,20750,"[-73.9175330527549, 40.827250116269]","[-73.917533, 40.8272509999999]",0.322306333667419
44058,44058,SIG,20755,"[-73.9169058031378, 40.8283894861311]","[-73.916906, 40.8283899999999]",0.194987094875548
44059,44059,SIG,20761,"[-73.916409808995, 40.8292895509398]","[-73.91641, 40.8292899999999]",0.171936113689258
44061,44061,SIG,20767,"[-73.9156989581394, 40.8305366965385]","[-73.915695, 40.8305269999998]",3.69872215167502
44065,44065,SIG,20768,"[-73.9174455748886, 40.83113049477]","[-73.917445, 40.8311299999998]",0.240426730794772
44070,44070,SIG,20773,"[-73.9149702917367, 40.8335878395073]","[-73.91497, 40.8335869999998]",0.316338461634035
44071,44071,SIG,20772,"[-73.917702991889, 40.8345150079244]","[-73.917708, 40.8345089999998]",2.59073505246328
44075,44075,SIG,20777,"[-73.9158572728432, 40.8338382512134]","[-73.915858, 40.8338379999998]",0.22105953621343
44078,44078,SIG,20789,"[-73.9148175583288, 40.835990389076]","[-73.914819, 40.8359909999998]",0.456825881651732
44082,44082,SIG,20785,"[-73.9158706755861, 40.8363935929182]","[-73.91587, 40.8363929999998]",0.285680897400309
44086,44086,SIG,20794,"[-73.9176836199724, 40.8402254947552]","[-73.917683, 40.8402259999999]",0.251620572775458
44087,44087,SIG,20839,"[-73.9176098852943, 40.8412748411833]","[-73.917609, 40.8412739999998]",0.39233867303467
44089,44089,SIG,21786,"[-73.9167825303899, 40.8398814179097]","[-73.916784, 40.8398939999999]",4.60212590208974
44090,44090,SIG,20803,"[-73.9168917641893, 40.8413472560547]","[-73.916893, 40.8413479999999]",0.436336510489333
44092,44092,SIG,20797,"[-73.9159400881606, 40.8395519737567]","[-73.915942, 40.8395519999998]",0.529093143497201
44093,44093,SIG,20799,"[-73.9150877382335, 40.8392253788022]","[-73.915089, 40.8392249999998]",0.375421252939849
44094,44094,SIG,20804,"[-73.9151767441527, 40.8406327987622]","[-73.915178, 40.8406329999998]",0.355138510457733
44100,44100,SIG,20807,"[-73.9161834445613, 40.8423348998625]","[-73.916184, 40.8423349999998]",0.157954870828266
44101,44101,SIG,20825,"[-73.9154468609155, 40.8433676331577]","[-73.915445, 40.8433669999998]",0.564201096452448
44103,44103,SIG,20841,"[-73.9147441945919, 40.84434250297]","[-73.914743, 40.8443439999998]",0.637754904812058
44107,79535,SIG,20822,"[-73.9170859185598, 40.8454358864609]","[-73.917119, 40.8453739999999]",24.3344919139838
44109,79535,SIG,20826,"[-73.9168592256631, 40.8464560814494]","[-73.916887, 40.8464149999998]",16.8248740706583
